batch_id	batch_name	cond	cell_nm	f_no_digestion	mean_f_fend_dup	max_chrom_cov_abber	f_trans	trans_align	total_contacts	cis_ab_comp	trans_ab_comp	passed_qc	mean_insu	ord	group	f_mitotic_band	f_near_band	far_mu	repli_score
2	1CDS1_2891	1CDS1	1CDS1_56	0.301025385	0.026505422	0.140469894	0.049325133	0.192274293	310876	0.113494798	0.037491478	1	2.356692578	110	G1	0.156470448	0.522303116	29537908.99	1.019835678
2	1CDS1_2891	1CDS1	1CDS1_57	0.261042521	0.035017996	0.612301433	0.070884443	0.254340141	313214	0.089298643	0.086527884	1	2.15305054	485	early-S	0.092386716	0.771601477	26412196.84	1.289595901
2	1CDS1_2891	1CDS1	1CDS1_58	0.24109589	0.003097627	3.290753674	0.052545156	0.101405709	1827	0.045933472	Inf	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_61	0.395078102	0.009258136	0.263948299	0.035782654	0.38855776	6791	0.109518102	0.113223431	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_62	0.434586057	0.014893369	0.128527681	0.048799085	0.289265095	18361	0.117880701	0.188672101	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_63	0.245200796	0.046775149	0.109193302	0.082405711	0.430154465	505863	0.11983856	0.016279211	1	2.273933994	609	late-S/G2	0.090008275	0.808304276	21832034.25	1.283919252
2	1CDS1_2891	1CDS1	1CDS1_64	0.292943779	0.049289761	0.087745235	0.066809919	0.375249053	525880	0.193194764	0.048008185	1	2.141203268	421	early-S	0.115913758	0.740767551	23686880.42	1.276349207
2	1CDS1_2891	1CDS1	1CDS1_65	0.295627163	0.030967658	0.256069866	0.066483851	0.437964211	374512	0.152528679	0.032503797	1	2.465701352	175	early-S	0.137516792	0.670783417	22073501.62	1.034877755
2	1CDS1_2891	1CDS1	1CDS1_66	0.305112369	0.03095199	0.140706958	0.085570969	0.430429818	309404	0.124753109	0.023658422	1	2.377318481	325	early-S	0.12339819	0.703419501	23126981.92	1.2221932
2	1CDS1_2891	1CDS1	1CDS1_67	0.244015822	0.02576274	0.524805531	0.087860155	0.429388759	216469	0.139868894	0.026595132	1	2.358335176	386	early-S	0.109889271	0.742191676	24841779.45	1.238249082
2	1CDS1_2891	1CDS1	1CDS1_68	0.287135279	0.010624021	1.170419037	0.060917067	0.163433322	6041	-0.047931775	0.08765177	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_71	0.237177587	0.005868869	0.336298319	0.080308194	0.400113716	6749	0.306721128	0.000705259	0	NA	NA	NA	NA	NA	NA	NA
2	1CDS1_2891	1CDS1	1CDS1_72	0.364352439	0.016997339	0.147749812	0.055986446	0.349312689	117457	0.154978774	0.004402935	1	2.432242915	134	G1	0.133070545	0.630575351	26238723.78	1.031297046
2	1CDS1_2891	1CDS1	1CDS1_73	0.287882658	0.034792224	0.098601813	0.064185867	0.235273558	368133	0.21228139	0.029915215	1	2.399795573	353	early-S	0.104028316	0.752240641	25583282.69	1.165853563
2	1CDS1_2891	1CDS1	1CDS1_74	0.265126454	0.030555575	0.089964418	0.076531535	0.334028824	375832	0.141512675	0.047868827	1	2.429002165	194	early-S	0.135764939	0.670179372	25157388.52	1.066329401
2	1CDS1_2891	1CDS1	1CDS1_75	0.309751294	0.029518658	0.131579211	0.040052816	0.492819738	342323	0.10253137	0.028994699	1	2.422370447	46	G1	0.188333324	0.488698349	20020766.55	1.012008584
