cond	cell_nm	ord	group	Loop_set	Enrichment3	CV5
1CDS1	1CDS1_74	194.0	early-S	R1BPeak_All_mm9	1.83	0.41772108841694067
1CDS1	1CDS1_74	194.0	early-S	Bonev_ES_CTCF_pairs_+-	1.31	0.04601499661290616
1CDS1	1CDS1_75	46.0	G1	R1BPeak_All_mm9	1.66	0.39100888610446977
1CDS1	1CDS1_75	46.0	G1	Bonev_ES_CTCF_pairs_+-	1.27	0.06564058780269898
1CDS1	1CDS1_76	323.0	early-S	R1BPeak_All_mm9	1.49	0.6226361087717668
1CDS1	1CDS1_76	323.0	early-S	Bonev_ES_CTCF_pairs_+-	1.3	0.06899433001436438
1CDS1	1CDS1_77	563.0	late-S/G2	R1BPeak_All_mm9	1.28	0.32468136525448116
1CDS1	1CDS1_77	563.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.35	0.03552751434526853
1CDS1	1CDS1_82	279.0	early-S	R1BPeak_All_mm9	2.76	1.0151762255608012
1CDS1	1CDS1_82	279.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.14246249097297975
1CDS1	1CDS1_83	326.0	early-S	R1BPeak_All_mm9	1.36	0.32606472795709535
1CDS1	1CDS1_83	326.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.059333360011906644
1CDS1	1CDS1_84	224.0	early-S	R1BPeak_All_mm9	1.68	0.37955731140201515
1CDS1	1CDS1_84	224.0	early-S	Bonev_ES_CTCF_pairs_+-	1.39	0.043073570145175946
1CDS1	1CDS1_85	534.0	late-S/G2	R1BPeak_All_mm9	1.56	0.36227536325578746
1CDS1	1CDS1_85	534.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.41	0.04652392811962562
1CDS1	1CDS1_86	202.0	early-S	R1BPeak_All_mm9	2.16	0.41222561494894105
1CDS1	1CDS1_86	202.0	early-S	Bonev_ES_CTCF_pairs_+-	1.3	0.05181500385462294
1CDS1	1CDS1_91	494.0	early-S	R1BPeak_All_mm9	1.77	0.9238580629347911
1CDS1	1CDS1_91	494.0	early-S	Bonev_ES_CTCF_pairs_+-	1.3	0.11116184317541142
1CDS1	1CDS1_92	127.0	G1	R1BPeak_All_mm9	1.53	0.7717741229281775
1CDS1	1CDS1_92	127.0	G1	Bonev_ES_CTCF_pairs_+-	1.38	0.060795997061350825
1CDS1	1CDS1_93	96.0	G1	R1BPeak_All_mm9	1.49	0.4680431788704955
1CDS1	1CDS1_93	96.0	G1	Bonev_ES_CTCF_pairs_+-	1.34	0.055919567525197375
1CDS1	1CDS1_94	234.0	early-S	R1BPeak_All_mm9	1.98	0.40166255228632636
1CDS1	1CDS1_94	234.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.04341652577297978
1CDS1	1CDS1_95	374.0	early-S	R1BPeak_All_mm9	1.43	0.26105429169960254
1CDS1	1CDS1_95	374.0	early-S	Bonev_ES_CTCF_pairs_+-	1.38	0.038047706271163224
1CDS1	1CDS1_96	490.0	early-S	R1BPeak_All_mm9	1.59	1.4420760656119425
1CDS1	1CDS1_96	490.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.10253461916180308
1CDS1	1CDS1_97	198.0	early-S	R1BPeak_All_mm9	1.38	0.7180887804171742
1CDS1	1CDS1_97	198.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.07623831407315514
1CDS1	1CDS1_102	453.0	early-S	R1BPeak_All_mm9	1.51	0.3973732147948317
1CDS1	1CDS1_102	453.0	early-S	Bonev_ES_CTCF_pairs_+-	1.34	0.03768665549041552
1CDS1	1CDS1_104	487.0	early-S	R1BPeak_All_mm9	1.37	0.2654124809595816
1CDS1	1CDS1_104	487.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.02671713442411249
1CDS1	1CDS1_105	414.0	early-S	R1BPeak_All_mm9	1.36	0.33582285392007694
1CDS1	1CDS1_105	414.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.04297299618069016
1CDS1	1CDS1_106	338.0	early-S	R1BPeak_All_mm9	1.62	0.3520250246564266
1CDS1	1CDS1_106	338.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.03990964368948368
1CDS1	1CDS1_107	425.0	early-S	R1BPeak_All_mm9	1.34	0.36345626470648024
1CDS1	1CDS1_107	425.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.05294573572237785
1CDS1	1CDS1_108	364.0	early-S	R1BPeak_All_mm9	1.52	0.2659384942093119
1CDS1	1CDS1_108	364.0	early-S	Bonev_ES_CTCF_pairs_+-	1.32	0.04283225128426168
1CDS1	1CDS1_112	140.0	G1	R1BPeak_All_mm9	2.02	0.46121511510842583
1CDS1	1CDS1_112	140.0	G1	Bonev_ES_CTCF_pairs_+-	1.4	0.05058703635395317
1CDS1	1CDS1_113	129.0	G1	R1BPeak_All_mm9	1.63	0.38367796993644476
1CDS1	1CDS1_113	129.0	G1	Bonev_ES_CTCF_pairs_+-	1.38	0.06926905022570169
1CDS1	1CDS1_114	171.0	early-S	R1BPeak_All_mm9	1.73	0.42030300890323763
1CDS1	1CDS1_114	171.0	early-S	Bonev_ES_CTCF_pairs_+-	1.28	0.057800479548865406
1CDS1	1CDS1_115	521.0	late-S/G2	R1BPeak_All_mm9	1.42	0.4009627109975525
1CDS1	1CDS1_115	521.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.32	0.04890790958313984
1CDS1	1CDS1_116	668.0	late-S/G2	R1BPeak_All_mm9	1.82	0.30945023840272307
1CDS1	1CDS1_116	668.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.37	0.04618785011297598
1CDS1	1CDS1_117	479.0	early-S	R1BPeak_All_mm9	1.7	0.5096320883139924
1CDS1	1CDS1_117	479.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.06030635854138345
1CDS1	1CDS1_118	15.0	G1	R1BPeak_All_mm9	2.68	0.5100067545982685
1CDS1	1CDS1_118	15.0	G1	Bonev_ES_CTCF_pairs_+-	1.12	0.10698658743073794
1CDS1	1CDS1_122	495.0	early-S	R1BPeak_All_mm9	2.09	0.4657796474455772
1CDS1	1CDS1_122	495.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.04250550996024205
1CDS1	1CDS1_123	18.0	G1	R1BPeak_All_mm9	1.56	0.44711709108075043
1CDS1	1CDS1_123	18.0	G1	Bonev_ES_CTCF_pairs_+-	1.15	0.07020561471180527
1CDS1	1CDS1_124	281.0	early-S	R1BPeak_All_mm9	1.34	0.5486739151705259
1CDS1	1CDS1_124	281.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.06106373006374816
1CDS1	1CDS1_125	269.0	early-S	R1BPeak_All_mm9	1.41	0.46683460249821035
1CDS1	1CDS1_125	269.0	early-S	Bonev_ES_CTCF_pairs_+-	1.31	0.05388449003256778
1CDS1	1CDS1_128	229.0	early-S	R1BPeak_All_mm9	1.26	0.8922055858682789
1CDS1	1CDS1_128	229.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.0920724254700073
1CDS1	1CDS1_131	574.0	late-S/G2	R1BPeak_All_mm9	1.54	0.5921468652703094
1CDS1	1CDS1_131	574.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.3	0.0800687786212402
1CDS1	1CDS1_133	343.0	early-S	R1BPeak_All_mm9	1.84	0.5944228080747938
1CDS1	1CDS1_133	343.0	early-S	Bonev_ES_CTCF_pairs_+-	1.4	0.06584289214551123
1CDS1	1CDS1_134	503.0	early-S	R1BPeak_All_mm9	1.26	0.6035797377747959
1CDS1	1CDS1_134	503.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.06334939077913265
1CDS1	1CDS1_136	554.0	late-S/G2	R1BPeak_All_mm9	1.08	0.832949868928495
1CDS1	1CDS1_136	554.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.31	0.07592391242967854
1CDS1	1CDS1_141	200.0	early-S	R1BPeak_All_mm9	1.93	0.6847835433771481
1CDS1	1CDS1_141	200.0	early-S	Bonev_ES_CTCF_pairs_+-	1.35	0.06454289098180109
1CDS1	1CDS1_142	501.0	early-S	R1BPeak_All_mm9	1.24	0.6064145138869393
1CDS1	1CDS1_142	501.0	early-S	Bonev_ES_CTCF_pairs_+-	1.38	0.04614509217231674
1CDS1	1CDS1_143	663.0	late-S/G2	R1BPeak_All_mm9	1.67	0.5560308701653832
1CDS1	1CDS1_143	663.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.32	0.054130174537817106
1CDS1	1CDS1_144	514.0	early-S	R1BPeak_All_mm9	1.65	0.777200948936069
1CDS1	1CDS1_144	514.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.09501697648101388
1CDS1	1CDS1_145	378.0	early-S	R1BPeak_All_mm9	1.37	0.4608383206558388
1CDS1	1CDS1_145	378.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.046796222791989694
1CDS1	1CDS1_146	321.0	early-S	R1BPeak_All_mm9	1.84	0.9235421781144721
1CDS1	1CDS1_146	321.0	early-S	Bonev_ES_CTCF_pairs_+-	1.4	0.10366618261232799
1CDS1	1CDS1_147	52.0	G1	R1BPeak_All_mm9	1.39	0.43498166024508833
1CDS1	1CDS1_147	52.0	G1	Bonev_ES_CTCF_pairs_+-	1.29	0.061421960693835986
1CDS1	1CDS1_148	605.0	late-S/G2	R1BPeak_All_mm9	1.08	0.8330462679092414
1CDS1	1CDS1_148	605.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.41	0.08534929840410004
1CDS1	1CDS1_151	298.0	early-S	R1BPeak_All_mm9	1.65	0.8805853278320022
1CDS1	1CDS1_151	298.0	early-S	Bonev_ES_CTCF_pairs_+-	1.39	0.07947057121929012
1CDS1	1CDS1_152	155.0	early-S	R1BPeak_All_mm9	2.55	0.48732568766834106
1CDS1	1CDS1_152	155.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.06599664851679478
1CDS1	1CDS1_153	362.0	early-S	R1BPeak_All_mm9	1.73	0.39741653758244005
1CDS1	1CDS1_153	362.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.04246368542215666
1CDS1	1CDS1_154	317.0	early-S	R1BPeak_All_mm9	1.64	0.3861114508387294
1CDS1	1CDS1_154	317.0	early-S	Bonev_ES_CTCF_pairs_+-	1.39	0.03799258918851349
1CDS1	1CDS1_155	66.0	G1	R1BPeak_All_mm9	1.25	0.4614107968453302
1CDS1	1CDS1_155	66.0	G1	Bonev_ES_CTCF_pairs_+-	1.37	0.08000033677859507
1CDS1	1CDS1_156	413.0	early-S	R1BPeak_All_mm9	1.5	0.2700062127369566
1CDS1	1CDS1_156	413.0	early-S	Bonev_ES_CTCF_pairs_+-	1.27	0.03288778672973767
1CDS1	1CDS1_157	478.0	early-S	R1BPeak_All_mm9	1.41	0.28873372122143526
1CDS1	1CDS1_157	478.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.03461383586035985
1CDS1	1CDS1_158	402.0	early-S	R1BPeak_All_mm9	1.3	0.683564324131232
1CDS1	1CDS1_158	402.0	early-S	Bonev_ES_CTCF_pairs_+-	1.38	0.06377948476997931
1CDS1	1CDS1_161	510.0	early-S	R1BPeak_All_mm9	1.32	0.464585380661275
1CDS1	1CDS1_161	510.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.04496031945287212
1CDS1	1CDS1_162	582.0	late-S/G2	R1BPeak_All_mm9	1.59	0.39315373141756954
1CDS1	1CDS1_162	582.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.38	0.035372848692142606
1CDS1	1CDS1_163	251.0	early-S	R1BPeak_All_mm9	1.24	0.46648311174659685
1CDS1	1CDS1_163	251.0	early-S	Bonev_ES_CTCF_pairs_+-	1.38	0.05023995218781281
1CDS1	1CDS1_164	228.0	early-S	R1BPeak_All_mm9	1.66	0.40192974684955485
1CDS1	1CDS1_164	228.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.057776010651979764
1CDS1	1CDS1_165	195.0	early-S	R1BPeak_All_mm9	1.9	0.5020094291181787
1CDS1	1CDS1_165	195.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.0453042154318722
1CDS1	1CDS1_166	370.0	early-S	R1BPeak_All_mm9	1.54	0.31789885600473133
1CDS1	1CDS1_166	370.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.05168589458588205
1CDS1	1CDS1_167	220.0	early-S	R1BPeak_All_mm9	1.78	0.3930408755906449
1CDS1	1CDS1_167	220.0	early-S	Bonev_ES_CTCF_pairs_+-	1.36	0.05302309583697916
1CDS1	1CDS1_168	468.0	early-S	R1BPeak_All_mm9	1.66	0.4158212394176169
1CDS1	1CDS1_168	468.0	early-S	Bonev_ES_CTCF_pairs_+-	1.33	0.055141828105494506
1CDS1	1CDS1_171	461.0	early-S	R1BPeak_All_mm9	1.14	0.8176401446052978
1CDS1	1CDS1_171	461.0	early-S	Bonev_ES_CTCF_pairs_+-	1.3	0.08645463018979596
1CDS1	1CDS1_173	355.0	early-S	R1BPeak_All_mm9	1.8	0.3376096211272111
1CDS1	1CDS1_173	355.0	early-S	Bonev_ES_CTCF_pairs_+-	1.37	0.03890050670274564
1CDS1	1CDS1_174	59.0	G1	R1BPeak_All_mm9	1.74	0.505135679828951
1CDS1	1CDS1_174	59.0	G1	Bonev_ES_CTCF_pairs_+-	1.42	0.07335509496752773
1CDS1	1CDS1_175	114.0	G1	R1BPeak_All_mm9	1.36	0.6117414701515487
1CDS1	1CDS1_175	114.0	G1	Bonev_ES_CTCF_pairs_+-	1.33	0.07564128128798199
1CDS1	1CDS1_176	727.0	late-S/G2	R1BPeak_All_mm9	1.95	0.3149755489949528
1CDS1	1CDS1_176	727.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.32	0.03391361555403308
1CDS1	1CDS1_177	32.0	G1	R1BPeak_All_mm9	3.31	0.840657317132821
1CDS1	1CDS1_177	32.0	G1	Bonev_ES_CTCF_pairs_+-	1.27	0.14639966478358055
1CDS1	1CDS1_178	366.0	early-S	R1BPeak_All_mm9	1.97	0.776016598042587
1CDS1	1CDS1_178	366.0	early-S	Bonev_ES_CTCF_pairs_+-	1.41	0.07002199645402751
1CDS1	1CDS1_181	102.0	G1	R1BPeak_All_mm9	1.87	1.1084115037375784
1CDS1	1CDS1_181	102.0	G1	Bonev_ES_CTCF_pairs_+-	1.47	0.10348878644511231
1CDS1	1CDS1_182	423.0	early-S	R1BPeak_All_mm9	1.6	0.34947365608867276
1CDS1	1CDS1_182	423.0	early-S	Bonev_ES_CTCF_pairs_+-	1.32	0.03588425984472834
1CDS1	1CDS1_183	19.0	G1	R1BPeak_All_mm9	1.79	0.33476184416198174
1CDS1	1CDS1_183	19.0	G1	Bonev_ES_CTCF_pairs_+-	1.09	0.06583394776940162
1CDS1	1CDS1_184	170.0	early-S	R1BPeak_All_mm9	1.69	0.4367208836907819
1CDS1	1CDS1_184	170.0	early-S	Bonev_ES_CTCF_pairs_+-	1.4	0.051319737883225705
1CDS1	1CDS1_185	111.0	G1	R1BPeak_All_mm9	1.65	0.44398553762988896
1CDS1	1CDS1_185	111.0	G1	Bonev_ES_CTCF_pairs_+-	1.33	0.06602592730961376
1CDS1	1CDS1_186	20.0	G1	R1BPeak_All_mm9	2.45	0.4876233563996245
1CDS1	1CDS1_186	20.0	G1	Bonev_ES_CTCF_pairs_+-	1.23	0.06762787054287228
1CDS1	1CDS1_187	601.0	late-S/G2	R1BPeak_All_mm9	1.88	0.28997814256594034
1CDS1	1CDS1_187	601.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.3	0.035040098259291906
1CDS1	1CDS1_188	541.0	late-S/G2	R1BPeak_All_mm9	3.14	1.1759527314384532
1CDS1	1CDS1_188	541.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.36	0.15386353224532467
1CDS1	1CDS1_191	547.0	late-S/G2	R1BPeak_All_mm9	1.46	0.6497210035909295
1CDS1	1CDS1_191	547.0	late-S/G2	Bonev_ES_CTCF_pairs_+-	1.35	0.06403994388767884
1CDS1	1CDS1_192	207.0	early-S	R1BPeak_All_mm9	1.39	0.553806853071963
1CDS1	1CDS1_192	207.0	early-S	Bonev_ES_CTCF_pairs_+-	1.34	0.05935284045915679
1CDS1	1CDS1_193	95.0	G1	R1BPeak_All_mm9	1.7	0.4664680745702282
1CDS1	1CDS1_193	95.0	G1	Bonev_ES_CTCF_pairs_+-	1.37	0.0557606311797876
